"Source:","/home/aidar/Documents/ED/Practica3/AidarIglesias_DavidMiravent_P3-20230312T223449Z-001/AidarIglesias_DavidMiravent_P3/AidarIglesias_DavidMiravent_P3.kicad_sch"
"Date:","mar 14 mar 2023 00:40:17"
"Tool:","Eeschema 7.0.1-3b83917a11~171~ubuntu22.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","32"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Arrow Part Number","Arrow Price/Stock","Description","Height","MANUFACTURER","MAXIMUM_PACKAGE_HEIGHT","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock","PARTREV","STANDARD","Sim.Device","Sim.Pins"
"1","2","C1, C2","30p","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","","","","","","","","",""
"2","4","C3, C5, C7, C8","100n","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","","","","","","","","",""
"3","2","C4, C6","1u","Device:C_Polarized_Small_US","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~","","","","","","","","","","","","","","",""
"4","1","D1","1N4002","Diode:1N4002","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf","","","","","","","","","","","","","","D","1=K 2=A"
"5","1","D2","15V","Device:D_Zener","Diode_THT:D_5W_P5.08mm_Vertical_AnodeUp","~","","","","","","","","","","","","","","",""
"6","1","D3","LED","Device:LED","Diode_THT:D_A-405_P2.54mm_Vertical_AnodeUp","~","","","","","","","","","","","","","","",""
"7","1","D4","LED_RED","Device:LED","LED_SMD:LED_0805_2012Metric","~","","","","","","","","","","","","","","",""
"8","1","D5","LED_BLUE","Device:LED","LED_SMD:LED_0805_2012Metric","~","","","","","","","","","","","","","","",""
"9","1","IC1","PIC18F258-I_SO","PIC18F258-I_SO:PIC18F258-I_SO","Package_SO:SOIC-28W_7.5x17.9mm_P1.27mm","https://datasheet.datasheetarchive.com/originals/distributors/Datasheets-35/DSA-681538.pdf","","PIC18F258-I/SO","https://www.arrow.com/en/products/pic18f258-iso/microchip-technology","Microcontroller,PIC18F258-I/SO 40MHz","2.64","","","Microchip","PIC18F258-I/SO","579-PIC18F258-I/SO","https://www.mouser.co.uk/ProductDetail/Microchip-Technology-Atmel/PIC18F258-I-SO?qs=uMUszenkLLJD5g8PY%252BN5ow%3D%3D","","","",""
"10","1","J1","ANALOG INPUT","Connector:Conn_01x03_Pin","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical","~","","","","","","","","","","","","","","",""
"11","1","J2","Screw_Terminal_01x02","Connector:Screw_Terminal_01x02","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical","~","","","","","","","","","","","","","","",""
"12","1","J3","PROGRAMMING CON","Connector:Conn_01x05_Pin","Connector_PinSocket_2.54mm:PinSocket_1x05_P2.54mm_Vertical","~","","","","","","","","","","","","","","",""
"13","1","J4","JP2","Connector:Conn_01x03_Pin","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical","~","","","","","","","","","","","","","","",""
"14","1","J5","JP1","Connector:Conn_01x03_Pin","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical","~","","","","","","","","","","","","","","",""
"15","1","J6","USART CON","Connector:Conn_01x05_Pin","Connector_PinSocket_2.54mm:PinSocket_1x05_P2.54mm_Vertical","~","","","","","","","","","","","","","","",""
"16","1","R1","100k","Device:R","Resistor_SMD:R_1206_3216Metric","~","","","","","","","","","","","","","","",""
"17","1","R2","68k","Device:R","Resistor_SMD:R_1206_3216Metric","~","","","","","","","","","","","","","","",""
"18","1","R3","2.2k","Device:R_Small_US","Resistor_SMD:R_0805_2012Metric","~","","","","","","","","","","","","","","",""
"19","1","R4","1k","Device:R_Small_US","Resistor_SMD:R_0805_2012Metric","~","","","","","","","","","","","","","","",""
"20","1","R5","1k","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~","","","","","","","","","","","","","","",""
"21","1","R6","4.7k","Device:R","Resistor_SMD:R_1206_3216Metric","~","","","","","","","","","","","","","","",""
"22","1","R7","220","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","","","","","","","","","","",""
"23","1","R8","100","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","","","","","","","","","","",""
"24","1","SW1","SW_Push","Switch:SW_Push","Button_Switch_SMD:SW_Push_SPST_NO_Alps_SKRK","~","","","","","","","","","","","","","","",""
"25","1","U1","LT1492","Amplifier_Operational:LT1492","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","https://www.analog.com/media/en/technical-documentation/data-sheets/14923f.pdf","","","","","","","","","","","","","","",""
"26","1","U2","LM1117-ADJ","Regulator_Linear:LM1117-ADJ","Package_TO_SOT_THT:TO-220-3_Horizontal_TabDown","http://www.ti.com/lit/ds/symlink/lm1117.pdf","","","","","","","","","","","","","","",""
"27","1","Y1","ABLS2-16.000MHZ-D4Y-T","ABLS2-16.000MHZ-D4Y-T:ABLS2-16.000MHZ-D4Y-T","Crystal:XTAL_ABLS2-16.000MHZ-D4Y-T","","","","","","","Abracon","3.3 mm","","","","","11.15.2016","Manufacturer Recommendations","",""
